aX,aY,aZ,gX,gY,gZ
0.110,0.911,0.625,-35.339,7.629,-43.396
0.125,0.933,0.640,-45.044,0.061,-41.260
0.166,0.919,0.642,-56.580,-8.362,-39.429
0.236,0.889,0.609,-67.627,-15.808,-39.551
0.158,0.895,0.574,-76.355,-20.325,-44.067
0.050,0.949,0.560,-81.238,-20.935,-50.049
0.056,1.008,0.523,-78.125,-20.691,-51.208
0.141,1.041,0.470,-70.679,-19.897,-44.678
0.198,1.040,0.411,-65.613,-18.921,-32.532
0.208,0.979,0.362,-66.406,-17.761,-19.531
0.207,0.904,0.326,-70.007,-16.968,-10.254
0.225,0.864,0.291,-76.111,-16.418,-5.432
0.242,0.854,0.259,-84.229,-16.052,-3.296
0.233,0.846,0.241,-93.018,-15.930,-2.258
0.213,0.849,0.231,-100.281,-14.893,-1.770
0.199,0.864,0.222,-102.295,-12.451,-1.099
0.190,0.879,0.209,-97.534,-8.118,1.343
0.185,0.875,0.196,-87.830,-1.709,5.981
0.191,0.859,0.188,-74.890,6.348,11.536
0.216,0.851,0.179,-62.195,15.259,16.357
0.245,0.837,0.185,-51.331,24.292,20.020
0.271,0.826,0.207,-43.274,32.288,22.400
0.298,0.822,0.233,-37.720,39.307,22.766
0.312,0.833,0.263,-35.278,45.349,21.545
0.309,0.854,0.277,-35.828,49.988,18.860
0.293,0.879,0.270,-40.283,53.406,16.602
0.289,0.925,0.282,-49.011,55.847,15.869
0.317,1.000,0.346,-57.129,58.105,16.174
0.335,1.083,0.390,-50.293,59.753,15.686
0.302,1.114,0.394,-29.419,59.570,13.855
0.264,1.071,0.414,-8.545,56.152,11.047
0.355,1.054,0.384,6.287,49.805,6.653
0.403,1.073,0.353,6.104,41.382,4.639
0.414,1.117,0.364,-1.831,30.884,6.226
0.377,1.158,0.362,-9.216,19.043,9.155
0.321,1.199,0.361,-12.634,6.897,11.169
0.274,1.236,0.332,-12.878,-4.150,11.902
0.240,1.267,0.291,-12.329,-12.573,11.658
"",,,,,
0.445,0.755,1.190,73.975,-124.573,-2.563
0.505,0.626,1.088,65.308,-138.428,1.038
0.576,0.428,0.984,49.805,-150.879,2.808
0.598,0.396,0.932,28.442,-161.926,-0.366
0.608,0.475,0.872,16.968,-168.701,-7.141
0.622,0.534,0.819,17.334,-170.288,-12.573
0.611,0.528,0.773,22.827,-169.861,-15.137
0.600,0.501,0.723,25.940,-170.288,-16.785
0.581,0.488,0.661,24.048,-171.204,-18.616
0.551,0.448,0.591,20.325,-170.715,-20.325
0.519,0.426,0.536,15.198,-168.579,-22.400
0.488,0.434,0.512,9.033,-165.161,-24.963
0.442,0.442,0.499,5.249,-160.522,-27.039
0.378,0.429,0.478,5.066,-155.762,-28.564
0.339,0.393,0.446,9.338,-150.818,-31.372
0.312,0.373,0.416,16.907,-145.020,-36.011
0.280,0.385,0.381,22.888,-140.137,-41.931
0.242,0.416,0.344,25.208,-136.230,-47.424
0.209,0.459,0.307,24.231,-132.751,-50.842
0.178,0.510,0.283,19.592,-129.089,-52.673
0.152,0.555,0.272,13.184,-125.122,-51.697
0.136,0.576,0.266,5.737,-121.338,-49.072
0.125,0.564,0.259,-0.061,-116.821,-45.166
0.109,0.542,0.241,-2.197,-111.084,-40.955
0.090,0.525,0.233,-0.916,-103.943,-38.147
0.068,0.501,0.229,3.418,-95.764,-36.682
0.053,0.459,0.242,8.789,-87.463,-36.194
0.049,0.450,0.285,13.855,-78.857,-37.781
0.051,0.436,0.325,16.907,-70.740,-41.870
0.040,0.407,0.371,16.235,-64.087,-46.326
0.030,0.408,0.406,14.038,-59.509,-52.124
0.036,0.450,0.428,13.794,-56.091,-59.692
0.037,0.495,0.452,15.137,-52.856,-67.017
0.024,0.534,0.474,15.381,-50.354,-72.876
0.017,0.579,0.473,14.221,-49.438,-76.904
0.017,0.607,0.461,12.512,-48.401,-79.529
0.022,0.623,0.430,10.315,-46.753,-81.177
0.027,0.617,0.402,9.827,-43.884,-82.642
0.033,0.592,0.389,12.390,-39.246,-84.900
0.048,0.570,0.400,15.686,-33.386,-88.745
0.056,0.552,0.420,18.555,-27.649,-94.238
0.066,0.563,0.442,19.897,-22.522,-101.135
0.095,0.617,0.484,19.836,-18.982,-108.459
0.120,0.702,0.540,18.127,-16.724,-115.295
0.150,0.735,0.613,14.893,-16.785,-120.544
0.136,0.780,0.674,9.888,-20.569,-124.451
0.096,0.844,0.688,4.395,-27.588,-127.136
0.072,0.885,0.651,-0.427,-35.583,-127.258
0.086,0.871,0.588,-5.249,-42.664,-124.512
0.109,0.818,0.544,-11.230,-47.607,-120.422
0.132,0.758,0.528,-18.616,-50.842,-117.920
0.151,0.749,0.514,-27.344,-53.894,-117.432
0.169,0.788,0.479,-35.339,-56.763,-117.676
0.198,0.805,0.430,-40.527,-58.655,-117.310
0.237,0.801,0.411,-45.471,-58.533,-116.089
0.268,0.815,0.425,-50.049,-56.152,-115.356
