aX,aY,aZ,gX,gY,gZ
0.883,0.468,0.737,-6.714,41.687,-96.375
0.843,0.412,0.730,0.122,45.532,-95.703
0.833,0.368,0.726,-4.700,45.898,-92.957
0.849,0.348,0.715,-19.653,41.626,-88.806
0.850,0.342,0.704,-37.598,34.302,-84.106
0.835,0.336,0.701,-51.880,25.635,-79.834
0.817,0.347,0.696,-63.232,17.700,-76.294
0.805,0.380,0.686,-69.580,11.292,-73.730
0.802,0.421,0.680,-67.383,6.958,-70.557
0.804,0.443,0.669,-60.059,4.211,-66.162
0.802,0.457,0.657,-54.199,2.075,-59.998
0.806,0.466,0.649,-51.453,0.427,-52.795
0.827,0.447,0.642,-50.049,-1.221,-45.410
0.851,0.407,0.639,-50.842,-2.930,-38.940
0.868,0.379,0.633,-56.335,-5.981,-33.875
0.872,0.355,0.626,-66.223,-10.010,-29.907
0.876,0.330,0.617,-78.430,-13.306,-26.245
0.881,0.294,0.639,-92.590,-16.602,-23.010
0.895,0.274,0.680,-108.337,-20.142,-20.752
0.902,0.300,0.725,-122.375,-24.597,-19.592
0.914,0.357,0.744,-128.174,-30.151,-18.860
0.952,0.417,0.757,-121.643,-36.377,-17.517
0.990,0.443,0.761,-107.178,-44.373,-14.954
0.998,0.416,0.753,-93.323,-52.429,-11.353
1.001,0.364,0.726,-87.036,-61.035,-7.690
0.992,0.319,0.690,-86.609,-69.214,-6.409
0.967,0.292,0.648,-87.219,-76.599,-8.728
0.956,0.297,0.609,-88.013,-82.397,-13.489
0.939,0.332,0.580,-89.417,-85.999,-19.653
0.923,0.385,0.550,-89.233,-89.172,-24.658
0.908,0.433,0.521,-88.318,-92.346,-27.405
0.896,0.464,0.497,-88.501,-94.421,-27.100
0.883,0.480,0.475,-89.417,-94.727,-24.536
0.865,0.477,0.456,-87.708,-93.445,-21.118
0.844,0.451,0.439,-83.618,-90.698,-17.456
0.828,0.407,0.429,-79.346,-86.121,-14.404
0.800,0.346,0.427,-75.012,-80.200,-13.000
0.769,0.299,0.426,-71.899,-72.937,-14.709
0.753,0.284,0.428,-68.054,-64.941,-19.043
0.752,0.299,0.433,-62.012,-57.251,-25.513
0.766,0.333,0.450,-53.772,-49.866,-32.227
0.776,0.362,0.473,-45.776,-43.884,-37.964
0.781,0.380,0.496,-41.443,-39.856,-41.870
0.787,0.385,0.509,-41.443,-37.354,-43.762
0.789,0.385,0.516,-43.884,-36.865,-45.044
0.786,0.388,0.522,-47.546,-37.354,-46.753
0.780,0.396,0.526,-51.147,-37.598,-48.157
0.771,0.404,0.533,-53.955,-37.903,-49.133
0.757,0.410,0.539,-55.969,-38.574,-49.438
0.745,0.410,0.537,-58.472,-38.940,-48.645
0.742,0.413,0.531,-61.829,-40.039,-47.058
0.744,0.412,0.523,-62.683,-40.527,-45.776
"",,,,,
1.234,0.644,0.995,-24.536,44.922,84.778
1.320,0.607,1.079,-45.654,27.527,84.106
1.452,0.647,1.206,-54.199,11.719,75.928
1.638,0.905,1.218,-41.565,-3.601,65.247
1.725,1.068,1.199,-2.136,-17.944,63.171
1.692,1.108,1.126,56.885,-33.020,74.646
1.645,0.994,0.962,117.737,-48.218,100.159
1.577,0.792,0.773,151.611,-61.768,132.202
1.462,0.628,0.452,160.522,-75.623,163.025
1.390,0.319,0.302,148.987,-84.900,191.101
1.326,-0.007,0.195,113.281,-89.600,209.534
1.250,-0.280,0.135,74.036,-88.867,211.365
1.131,-0.482,0.134,43.762,-82.703,195.190
1.005,-0.552,0.141,22.583,-73.059,166.626
0.883,-0.528,0.149,9.338,-59.448,132.385
0.786,-0.438,0.173,7.080,-42.847,96.924
0.756,-0.312,0.190,15.686,-24.597,63.416
0.785,-0.145,0.176,29.602,-5.554,34.851
0.818,0.018,0.150,41.992,13.550,13.916
0.848,0.135,0.133,48.523,32.104,1.892
0.905,0.239,0.096,41.565,46.814,-1.709
0.959,0.328,0.096,20.752,59.082,1.343
